Date,From,Subject
"Wed, 17 May 2023 09:18:23 +0000 (UTC)",X-Force Exchange <no-reply@xforce.ibmcloud.com>,IBM X-Force Exchange Notifications
"Wed, 17 May 2023 08:41:23 +0000 (UTC)",LinkedIn <jobs-listings@linkedin.com>,BeyondID is hiring: Developer - Nepal.
"Wed, 17 May 2023 00:27:31 -0700 (PDT)",EC-Council Scholarship <scholarship@eccouncil.org>,Withdrawal of 2023 C|CT Scholarship Award
"Wed, 17 May 2023 05:55:01 +0000 (UTC)",X-Force Exchange <no-reply@xforce.ibmcloud.com>,IBM X-Force Exchange Notifications
"Wed, 17 May 2023 02:25:59 GMT",Google <no-reply@accounts.google.com>,Recovery email verified for your Google Account
"Wed, 17 May 2023 02:23:28 GMT",Google <no-reply@accounts.google.com>,Security alert
"Wed, 17 May 2023 02:16:11 +0000 (UTC)",Udemy <hello@students.udemy.com>,Get one up on AI during our biggest sale of the season
"Wed, 17 May 2023 01:30:00 +0000 (UTC)",Medium Daily Digest <noreply@medium.com>,My MacBook Setup for Development (2023) | ScriptMint
"Wed, 17 May 2023 01:25:01 +0000","""Susant Timsina (via Google Docs)"" <drive-shares-dm-noreply@google.com>","Share request for ""Network Monitor APP(NMA)"""
"Wed, 17 May 2023 01:22:41 +0000","""Susant Timsina (via Google Docs)"" <drive-shares-dm-noreply@google.com>","Share request for ""Network Monitor APP(NMA)"""
"Wed, 17 May 2023 01:21:48 +0000","""Susant Timsina (via Google Docs)"" <drive-shares-dm-noreply@google.com>","Share request for ""Network Monitor APP(NMA)"""
"Tue, 16 May 2023 21:41:56 +0000",Indeed <donotreply@indeed.com>,User Interface Designer @ Onsite Support LLC
"Tue, 16 May 2023 19:44:26 +0000",DataCamp Insights <team@datacamp.com>,New Case Study: Competitor Sales Analysis in Power BI
"Tue, 16 May 2023 18:27:20 +0000",INE - Expert IT Training <hello@e.ine.com>,Learning Digest: May 2023
"Tue, 16 May 2023 12:06:37 -0600",Taco from Trello <taco@trello.com>,Your go-to employee onboarding checklist
"Tue, 16 May 2023 17:30:29 +0000 (UTC)",Udacity <support@udacity.com>,FREE Courses in generative AI from Google Cloud
"Tue, 16 May 2023 16:02:30 +0000",Coursera <no-reply@m.mail.coursera.org>,Experience Flexibility at a Top B-School
"Tue, 16 May 2023 15:30:11 +0000 (UTC)",LinkedIn <messages-noreply@linkedin.com>,Subash Tamang (su bash) replied to your comment
"Tue, 16 May 2023 19:45:14 +0530",Internshala <student@internshala.com>,"💬 Divya gyan college students, Rancho & Rocket Singh have a message for you"
"Tue, 16 May 2023 12:10:14 +0000 (UTC)",merojob via LinkedIn <newsletters-noreply@linkedin.com>,merojob just published an article
"Tue, 16 May 2023 12:07:23 +0000",The W3Schools team <info@w3schools.com>,"Aayush, welcome to W3Schools! Get started on your web development journey"
"Tue, 16 May 2023 11:46:34 +0000",W3Schools <info@w3schools.com>,Mini Bootcamps are finally here🎉
"Tue, 16 May 2023 11:39:34 +0000",W3schools <login@w3schools.com>,Reset your password at W3schools
"Tue, 16 May 2023 11:29:44 +0000","""Abdou Rockikz @ Python Code"" <abdou@thepythoncode.com>",Discover our Latest GUI Programming Tutorials
"Tue, 16 May 2023 10:32:45 +0000 (UTC)",Edureka Masterclass <info@email.meetup.com>,"📅 Monday: Join 16 Members at ""Building  Websites with HTML and CSS"""
"Tue, 16 May 2023 03:13:42 -0700","""Alyssa @ LinkedIn Learning"" <linkedin@e.linkedin.com>","AAYUSH, redeem these three (3) unlocked courses - offer expires in 7 days"
"Tue, 16 May 2023 10:14:52 +0000",Advances in AI <advances-in-ai-space@quora.com>,"“Dr. Hinton said he has quit his job at Google, where he has worked for more than decade and became one of the most respected voices in the field, ..."
"Tue, 16 May 2023 10:07:11 +0000",SharewareOnSale <admin@sharewareonsale.com>,New giveaway for you: TwistedBrush Pro Studio 24
"Tue, 16 May 2023 03:35:58 -0600",Grammarly Insights <info@send.grammarly.com>,Uh oh – you might be logged out.
"Tue, 16 May 2023 09:11:25 +0000",Docker <no-reply@notify.docker.com>,[Docker] Reset password request
"Tue, 16 May 2023 09:00:15 +0000",UNIPOLLENZO <uni-noreply@docsity.com>,Fuel your passion for food: discover this Bachelor's Program in Gastronomy
"Tue, 16 May 2023 03:46:38 -0500 (CDT)","""Joe Pesco, AlgoSec"" <joe.pesco@algosec.com>",[Upcoming webinar] Rein in your network objects
"Tue, 16 May 2023 07:59:15 +0000 (UTC)",X-Force Exchange <no-reply@xforce.ibmcloud.com>,IBM X-Force Exchange Notifications
"Tue, 16 May 2023 06:24:13 +0000 (UTC)",X-Force Exchange <no-reply@xforce.ibmcloud.com>,IBM X-Force Exchange Notifications
"Tue, 16 May 2023 05:31:28 +0000 (UTC)",GitHub <noreply@github.com>,[GitHub] Your Dependabot alerts for the week of May 9 - May 16
"Tue, 16 May 2023 05:01:22 +0000 (UTC)",LinkedIn <messages-noreply@linkedin.com>,"Since you saved a Full Stack Engineer job, improve your Full Stack Engineer skills with these courses"
"Mon, 15 May 2023 23:00:44 -0500 (CDT)",VMware <vmwareteam@connect.vmware.com>,[Webinar] The DEX Factor: Boost Outcomes with Automation and Remote Support
"Tue, 16 May 2023 03:53:16 +0000 (UTC)",Edureka Masterclass <info@email.meetup.com>,"Join 33 Members at ""Data Analysis and Visualization with Power BI Desktop tomorrow """""
"Tue, 16 May 2023 03:15:14 +0000 (UTC)",Udemy <hello@students.udemy.com>,The right start with courses from $9.99.
"Tue, 16 May 2023 01:30:00 +0000 (UTC)",Medium Daily Digest <noreply@medium.com>,Why I Keep Failing Candidates During Google Interviews… | Alexander Nguyen in Level Up Coding
"Mon, 15 May 2023 14:30:39 -0700",GitHub <noreply@github.com>,[GitHub] Your personal access token (classic) is about to expire
"Mon, 15 May 2023 15:09:38 -0600",Coursera <Coursera@email.coursera.org>,Recommended: Server side JavaScript with Node.js
"Mon, 15 May 2023 19:41:28 +0000",Team from ITProTV <team@itpro.tv>,Get 35% Off a Personal Plan!
"Mon, 15 May 2023 15:06:39 -0400",Red Hat Developer <email@engage.redhat.com>,Red Hat Developer Weekly Newsletter
"Mon, 15 May 2023 18:25:27 +0000",DataCamp <team@datacamp.com>,[$110 Off] Take your career to the next level!
"Mon, 15 May 2023 18:21:06 +0000",Codecademy <learn@itr.mail.codecademy.com>,50% off Pro through May 24
"Mon, 15 May 2023 18:18:00 +0000 (UTC)",Namecheap <hello@namecheap.com>,Get a .FAMILY domain for only $9.98/yr
"Mon, 15 May 2023 17:55:33 +0000 (UTC)",Meetup <info@meetup.com>,Top suggestions for you this week
